country_code,date,letter_code, lockdown_type,lockdown_label
CAN,2020-03-23,V,Voluntary or stay home,Voluntary lockdown or stay home request
USA,2020-03-16,V,Voluntary or stay home,Voluntary lockdown or stay home request
IRL,2020-03-27,M,Mandatory,Mandatory national lockdown
GBR,2020-03-23,M,Mandatory,Mandatory national lockdown
DEN,2020-03-13,M,Mandatory,Mandatory national lockdown
DEU,2020-03-22,V,Voluntary or stay home,Voluntary lockdown or stay home request
ESP,2020-03-14,M,Mandatory,Mandatory national lockdown
FRA,2020-03-17,M,Mandatory,Mandatory national lockdown
ITA,2020-03-10,M,Mandatory,Mandatory national lockdown
NOR,2020-03-12,M,Mandatory,Mandatory national lockdown
BEL,2020-03-18,M,Mandatory,Mandatory national lockdown
CAN,2020-05-16,R,Reopen, Country begins reopening
IRL,2020-05-18,R,Reopen, Country begins reopening
GBR,2020-05-13,R,Reopen, Country begins reopening
USA,2020-04-30,R,Reopen, Country begins reopening
