state,abb,region
Alabama,AL,south
Alaska,AK,west
Arizona,AZ,west
Arkansas,AR,south
California,CA,west
Colorado,CO,west
Connecticut,CT,northeast
Delaware,DE,south
District of Columbia,DC,south
Florida,FL,south
Georgia,GA,south
Hawaii,HI,west
Idaho,ID,west
Illinois,IL,midwest
Indiana,IN,midwest
Iowa,IA,midwest
Kansas,KS,midwest
Kentucky,KY,south
Louisiana,LA,south
Maine,ME,northeast
Maryland,MD,south
Massachusetts,MA,northeast
Michigan,MI,midwest
Minnesota,MN,midwest
Mississippi,MS,south
Missouri,MO,south
Montana,MT,west
Nebraska,NE,midwest
Nevada,NV,west
New Hampshire,NH,northeast
New Jersey,NJ,northeast
New Mexico,NM,west
New York,NY,northeast
North Carolina,NC,south
North Dakota,ND,midwest
Ohio,OH,midwest
Oklahoma,OK,south
Oregon,OR,west
Pennsylvania,PA,northeast
Rhode Island,RI,northeast
South Carolina,SC,south
South Dakota,SD,midwest
Tennessee,TN,south
Texas,TX,south
Utah,UT,west
Vermont,VT,northeast
Virginia,VA,south
Washington,WA,west
West Virginia,WV,south
Wisconsin,WI,midwest
Wyoming,WY,west
